GeneSymbol	CellType_1	CellType_2	CellType_3	CellType_4	CellType_5	CellType_6	CellType_7	CellType_8	CellType_9	CellType_10
Gene_1	892.305014505965	892.119167369509	934.644227894348	321.740411679826	518.584543831147	54.1398356897274	75.2544786703013	886.951300109182	126.720741858191	359.792437778763
Gene_2	108.092425021871	132.691588245504	698.576184539725	226.281337918117	570.044608943947	316.717717470763	152.863461687946	888.573008351883	149.904839041246	326.208734917468
Gene_3	117.970364577038	238.516032270775	605.991550321454	1371.97834101388	515.405332901174	165.979435887175	174.446801445977	674.464335892927	107.967047407393	613.750490903697
Gene_4	939.43216257116	3693.0200317752	305.788103369889	465.124457925381	51.6609831488506	58.6987881882455	640.728543317953	1926.44204938357	20.2493522461733	533.613272226027
Gene_5	474.416455154763	882.528836982897	196.423336633341	862.032394205769	154.560449273864	70.6766896400368	113.756113073465	225.480661033554	45.5197425954904	2804.75237774361
Gene_6	536.812113706183	2125.73981338518	302.187221429586	6322.85195675664	187.362924175764	313.731138026249	38.9513528601805	559.980303553316	149.020873051433	25.5052097416119
Gene_7	142.348060990716	278.642530639973	887.537210682443	247.451004438426	95.0139747914691	66.8821135148358	239.477836173853	1120.2029095103	374.761358399353	205.167804313698
Gene_8	164.901503304811	642.846858485735	298.07424817304	4568.61613271312	186.189021410372	191.671245168297	133.973010721538	655.063880804436	24.4692340463724	598.177235662136
Gene_9	91.2629396305671	703.675194690624	720.617652301253	2195.55122591936	34.7055190562263	432.022242967032	850.269909649195	8732.70800494213	43.2388993011321	73.5553282969956
Gene_10	64.0131987832556	105.473630592338	4333.4905038157	311.851060148757	354.030401605288	56.3780727649898	110.041338542076	3354.77128007577	798.374603095766	73.3029382316455
Gene_11	111.049466914421	655.554152673331	339.098448072172	1394.12455187071	97.3527062071424	81.6108457511812	534.82179560308	774.179694862031	111.192293336163	305.139797168027
Gene_12	128.397940800172	544.843820366552	47.1754321309727	277.817930268524	56.3657254314301	521.339602169222	1552.97815083276	198.419477090076	71.0919514847362	975.94956499758
Gene_13	458.878383259555	548.492843978744	371.567102194902	65.4429031972706	483.849229881978	54.5535915953806	143.253562388895	292.031085964418	215.757949480787	468.9011214874
Gene_14	550.98498575019	4784.8197070233	300.046419640398	745.555770833912	33.6959160146556	71.3685700257407	639.775398777952	1499.13398568675	280.719030870984	23.2293181828863
Gene_15	127.44066766576	291.999745019022	548.934391669141	222.243225347065	82.7409614714192	56.2578762125773	185.759846172636	739.506974760278	138.396469083006	569.444475044218
Gene_16	316.205537740165	368.921462215381	468.970358710295	280.419446128503	214.120515551618	150.520521114866	137.468592525838	637.330947880469	101.657646158002	732.63475915933
Gene_17	444.670205381253	744.073044491696	163.085155392801	224.588161008497	133.79709777266	156.669925192603	201.088347545562	283.377627615378	72.4194294099894	705.739928109507
Gene_18	227.924235635033	479.770138603835	447.375527074957	674.3374504615	84.5837987044119	85.4956666847837	70.9845161923354	568.212281206932	97.9472808396987	413.118695936089
Gene_19	170.528159268818	247.371659735791	656.714780188467	1268.83618359763	328.80845371666	401.072485874798	102.698854951306	946.363186325985	139.10999991208	291.155739587078
Gene_20	104.80615402817	1914.70404244403	139.583515618299	3344.25759268516	40.9277406320487	210.818780128577	1150.04920548347	913.16426367408	95.8424655773643	38.7810483230484
Gene_21	31.2748664634621	256.443851812063	252.367347896348	4191.01529014933	24.8706512378386	590.099086667051	440.944817483674	1124.25289587875	110.179458146448	133.339125587874
Gene_22	176.692002890564	562.435626592575	157.633758635522	1012.57251564071	350.633088236714	248.075018690273	115.775012924453	256.869063248771	38.5938089442631	368.221124622747
Gene_23	193.689024066781	395.626276916195	680.54545249114	1011.25541525019	211.08952706586	261.758949529953	144.231646153005	1006.62336219974	367.857617855668	79.5809709544584
Gene_24	221.823384462646	907.300053130028	181.006713518822	648.835209992459	71.9634656417127	123.088475131546	449.551068482318	384.879091293327	180.363209497901	227.554444144646
Gene_25	148.934193237502	186.988643204758	1133.97165443213	216.068425762647	189.826575197704	107.194240876905	110.542171516815	862.051952702211	1004.65186518503	114.630884206726
